"id";"created";"nome"
229;"2010-12-28 00:00:01";"PRADOS "
230;"2010-12-28 00:00:01";"PRATA "
231;"2010-12-28 00:00:01";"PRATÁPOLIS "
232;"2010-12-28 00:00:01";"PRESIDENTE OLEGÁRIO "
233;"2010-12-28 00:00:01";"RAUL SOARES "
234;"2010-12-28 00:00:01";"RESENDE COSTA "
235;"2010-12-28 00:00:01";"RESPLENDOR "
236;"2010-12-28 00:00:01";"RIBEIRÃO DAS NEVES "
237;"2010-12-28 00:00:01";"RIO CASCA "
238;"2010-12-28 00:00:01";"RIO NOVO "
239;"2010-12-28 00:00:01";"RIO PARANAÍBA "
240;"2010-12-28 00:00:01";"RIO PARDO DE MINAS "
241;"2010-12-28 00:00:01";"RIO PIRACICABA "
242;"2010-12-28 00:00:01";"RIO POMBA "
243;"2010-12-28 00:00:01";"RIO PRETO "
244;"2010-12-28 00:00:01";"RIO VERMELHO "
245;"2010-12-28 00:00:01";"SABARÁ "
246;"2010-12-28 00:00:01";"SABINÓPOLIS "
247;"2010-12-28 00:00:01";"SACRAMENTO "
248;"2010-12-28 00:00:01";"SALINAS "
249;"2010-12-28 00:00:01";"SANTA BÁRBARA "
250;"2010-12-28 00:00:01";"SANTA LUZIA "
251;"2010-12-28 00:00:01";"SANTA MARIA DO SUAÇUÍ "
252;"2010-12-28 00:00:01";"SANTA RITA DE CALDAS "
253;"2010-12-28 00:00:01";"SANTA RITA DO SAPUCAÍ "
254;"2010-12-28 00:00:01";"SANTA VITÓRIA "
255;"2010-12-28 00:00:01";"SANTO ANTÔNIO DO MONTE "
256;"2010-12-28 00:00:01";"SANTOS DUMONT "
257;"2010-12-28 00:00:01";"SÃO DOMINGOS DO PRATA "
258;"2010-12-28 00:00:01";"SÃO FRANCISCO "
259;"2010-12-28 00:00:01";"SÃO GONÇALO DO SAPUCAÍ "
260;"2010-12-28 00:00:01";"SÃO GOTARDO "
261;"2010-12-28 00:00:01";"SÃO JOÃO DA PONTE "
262;"2010-12-28 00:00:01";"SÃO JOÃO DEL-REI "
263;"2010-12-28 00:00:01";"SÃO JOÃO EVANGELISTA "
264;"2010-12-28 00:00:01";"SÃO JOÃO NEPOMUCENO "
265;"2010-12-28 00:00:01";"SÃO LOURENÇO "
266;"2010-12-28 00:00:01";"SÃO ROMÃO "
